model,type,train_time_sec,accuracy,precision,recall,f1,roc_auc
Logistic Regression (TF-IDF),Classical,25.083015203475952,0.9809843400447428,0.9646017699115044,0.630057803468208,0.7622377622377622,0.9826861371893891
Random Forest (TF-IDF),Classical,129.17014408111572,0.9818232662192393,1.0,0.6242774566473989,0.7686832740213523,0.970857913537698
BiLSTM (Embeddings),Deep Learning,207.31578707695007,0.9843400447427293,0.8726114649681529,0.791907514450867,0.8303030303030303,0.9857300341928831
